"";"eval-saturation_classifier-2";"eval-saturation_classifier-6";"eval-saturation_features-0";"eval-saturation_features-11";"eval-saturation_features-15";"eval-saturation_features-18";"eval-saturation_features-22";"eval-saturation_features-25";"eval-saturation_features-4";"eval-saturation_features-8";"test_accuracy";"test_loss";"train-saturation_classifier-2";"train-saturation_classifier-6";"train-saturation_features-0";"train-saturation_features-11";"train-saturation_features-15";"train-saturation_features-18";"train-saturation_features-22";"train-saturation_features-25";"train-saturation_features-4";"train-saturation_features-8";"training_accuracy";"training_loss"
"0";"72.66";"30.0";"3.12";"13.67";"17.77";"41.6";"61.72";"70.9";"3.12";"3.52";"0.2872";"0.003932679760456085";"82.42";"80.0";"3.12";"19.53";"20.12";"45.9";"65.62";"75.39";"3.91";"5.47";"0.21852";"0.004246578977108002"
"1";"70.31";"40.0";"3.12";"15.62";"18.55";"42.38";"62.5";"71.29";"3.91";"4.3";"0.3764";"0.0034096718311309813";"80.47";"50.0";"4.69";"20.7";"20.7";"46.09";"65.82";"75.0";"4.69";"6.25";"0.32384";"0.0036301814770698547"
"2";"69.14";"40.0";"3.12";"16.8";"18.95";"42.77";"62.89";"71.29";"4.69";"5.08";"0.4348";"0.0030916532278060915";"79.3";"50.0";"4.69";"21.88";"21.29";"46.29";"66.02";"74.8";"6.25";"7.03";"0.39426";"0.0032382831287384034"
"3";"67.97";"40.0";"4.69";"17.58";"19.14";"42.77";"63.09";"71.09";"5.47";"5.47";"0.4981";"0.0027641368985176088";"78.12";"50.0";"4.69";"23.05";"21.88";"46.68";"66.02";"74.41";"6.25";"7.42";"0.44932";"0.0029697097301483156"
"4";"67.19";"50.0";"4.69";"18.36";"19.53";"42.97";"63.09";"71.09";"5.47";"6.25";"0.528";"0.002585374128818512";"77.73";"50.0";"4.69";"23.83";"22.27";"46.88";"66.21";"74.22";"7.03";"8.2";"0.49054";"0.002757330095767975"
"5";"66.41";"50.0";"4.69";"19.14";"19.73";"43.16";"63.09";"70.9";"6.25";"6.64";"0.5566";"0.0024548638820648195";"76.95";"50.0";"6.25";"24.22";"22.46";"47.07";"66.02";"74.02";"7.03";"8.59";"0.51932";"0.002599580898284912"
"6";"66.02";"50.0";"4.69";"19.92";"19.92";"43.16";"63.09";"70.9";"7.03";"7.03";"0.5725";"0.002389948785305023";"76.56";"50.0";"6.25";"25.0";"22.85";"47.07";"66.02";"73.83";"7.81";"8.98";"0.5472";"0.002470028691291809"
"7";"65.23";"50.0";"4.69";"20.31";"19.92";"43.16";"63.09";"70.7";"7.03";"7.42";"0.5916";"0.0022597358345985414";"76.17";"50.0";"6.25";"25.39";"22.85";"47.07";"66.02";"73.63";"7.81";"9.38";"0.56734";"0.002366082558631897"
"8";"64.84";"50.0";"4.69";"21.09";"19.92";"43.16";"62.89";"70.7";"7.03";"7.42";"0.6127";"0.00215773686170578";"75.78";"60.0";"6.25";"25.78";"23.05";"47.07";"66.02";"73.44";"8.59";"9.77";"0.58306";"0.0022757190990448"
"9";"64.45";"50.0";"4.69";"21.48";"20.12";"43.16";"62.89";"70.51";"7.81";"7.81";"0.6234";"0.0020856965482234954";"75.39";"60.0";"6.25";"26.17";"23.24";"47.07";"65.82";"73.24";"8.59";"10.16";"0.60204";"0.002189126527309418"
"10";"64.06";"50.0";"4.69";"21.88";"20.12";"43.16";"62.7";"70.31";"7.81";"8.2";"0.6336";"0.002043050640821457";"75.0";"60.0";"6.25";"26.56";"23.24";"47.07";"65.82";"73.24";"8.59";"10.16";"0.61206";"0.0021177599620819092"
"11";"63.67";"60.0";"4.69";"21.88";"20.12";"43.16";"62.7";"70.31";"7.81";"8.2";"0.6412";"0.001987780088186264";"74.61";"60.0";"6.25";"26.95";"23.24";"47.07";"65.62";"73.05";"8.59";"10.55";"0.62554";"0.002059799426794052"
"12";"63.28";"60.0";"4.69";"22.27";"20.12";"42.97";"62.5";"70.12";"8.59";"8.59";"0.6605";"0.0019120458900928497";"74.22";"60.0";"6.25";"26.95";"23.44";"47.07";"65.62";"72.85";"9.38";"10.55";"0.63506";"0.0020088217306137085"
"13";"62.89";"60.0";"4.69";"22.66";"20.12";"42.97";"62.5";"70.12";"8.59";"8.59";"0.6567";"0.0019304574012756347";"73.83";"60.0";"6.25";"27.34";"23.44";"47.07";"65.43";"72.85";"9.38";"10.94";"0.64654";"0.0019470311653614044"
"14";"62.5";"60.0";"4.69";"22.66";"20.12";"42.97";"62.3";"69.92";"8.59";"8.98";"0.6658";"0.001872165697813034";"73.83";"60.0";"7.81";"27.34";"23.44";"47.07";"65.43";"72.66";"9.38";"10.94";"0.65622";"0.001901913455724716"
"15";"62.11";"60.0";"4.69";"23.05";"20.31";"42.97";"62.3";"69.92";"8.59";"8.98";"0.6663";"0.0018656826555728911";"73.44";"60.0";"7.81";"27.73";"23.44";"47.07";"65.23";"72.66";"9.38";"11.33";"0.66596";"0.0018519285953044892"
"16";"62.11";"60.0";"4.69";"23.05";"20.31";"42.97";"62.11";"69.73";"9.38";"8.98";"0.6804";"0.0018025465965270996";"73.05";"60.0";"7.81";"27.73";"23.44";"47.07";"65.23";"72.46";"10.16";"11.33";"0.67254";"0.001814314340353012"
"17";"61.72";"60.0";"4.69";"23.05";"20.31";"42.77";"62.11";"69.73";"9.38";"9.38";"0.6888";"0.0017409806370735168";"73.05";"60.0";"7.81";"27.73";"23.63";"46.88";"65.23";"72.46";"10.16";"11.33";"0.67814";"0.0017785512852668763"
"18";"61.33";"60.0";"4.69";"23.44";"20.31";"42.77";"61.91";"69.53";"9.38";"9.38";"0.6925";"0.0017381436586380004";"72.66";"60.0";"7.81";"28.12";"23.63";"46.88";"65.04";"72.27";"10.16";"11.33";"0.68604";"0.0017435577535629273"
"19";"61.33";"60.0";"4.69";"23.44";"20.31";"42.77";"61.72";"69.53";"9.38";"9.38";"0.692";"0.0017184693455696105";"72.66";"60.0";"7.81";"28.12";"23.63";"46.88";"65.04";"72.27";"10.16";"11.72";"0.69138";"0.0017063832020759583"
"";;;;;;;;;;;;;;;;;;;;;;;;
