,loss,model,accs,thresh,,,,,mean diff,Value – mean,,var,std,,s_mean(x),t
0,0.027838469076157,VGG11,0.1,0.9,,,0.7819,,0.7016,0.00644809,,0.005936948,0.07705159310488,,0.017229259995717,40.721423913414
1,0.027368335390091,VGG11,0.1,0.91,,,0.7819,,0.699655,0.006764240025,,0.006085917475,0.078012290538094,,0.017444078472364,40.1084529118823
2,0.023462276792526,VGG11,0.1167,0.92,,,0.7652,,0.6954,0.00487204,,0.006635455,0.081458302216533,,0.018214630108789,38.178101660404
3,0.023611781549454,VGG11,0.1207,0.93,,,0.7612,,0.691975,0.004792100625,,0.006636794875,0.081466526101215,,0.018216469025308,37.9862309780589
4,0.02330752286911,VGG11,0.1246,0.94,,,0.7573,,0.68129,0.0057775201,,0.0077203699,0.08786563548965,,0.019647353384108,34.6759172434435
5,0.023224086594582,VGG11,0.1315,0.95,,,0.7504,,0.663355,0.007576832025,,0.006098654475,0.078093882442865,,0.017462322976912,37.9877866694511
6,0.018295497393608,VGG11,0.1918,0.96,,,0.6901,,0.617325,0.005296200625,,0.009407338875,0.096991437122047,,0.021687944664029,28.4639697105031
7,0.012358422696591,VGG11,0.4907,0.97,,,0.3912,,0.49026,0.0098128836,,0.0198280004,0.14081193273299,,0.031486505363409,15.5704799355007
8,0.005484387409687,VGG11,0.764,0.98,,,0.1179,,0.32279,0.0419799121,,0.0292171379,0.170930213537572,,0.038221157687857,8.44532242158
9,0.004123827955127,VGG11,0.8337,0.99,,,0.0482,,0.145465,0.009460480225,,0.020407888275,0.142856180387829,,0.031943613035316,4.55380547714432
10,0.003106519691646,VGG11,0.8735,0.992,,,0.0084,,0.10781,0.0098823481,,0.0127000009,0.112694280688951,,0.025199207229594,4.27830919511585
11,0.003071241027117,VGG11,0.8776,0.994,,,0.0043,,0.08018,0.0057577744,,0.0087286296,0.093427135244532,,0.020890942534984,3.83802692797277
12,0.003012208084762,VGG11,0.8834,0.996,,,-0.0015,,0.04062,0.0017740944,,0.0016118926,0.040148382283724,,0.008977451197305,4.52466954230753
13,0.003101818147302,VGG11,0.8844,0.998,,,-0.0025,,0.01974,0.0004946176,,0.0006668824,0.025824066294834,,0.005774436769071,3.41851522311769
14,0.003140361817181,VGG11,0.8838,0.999,,,-0.0019,,0.01709,0.0003606201,,0.0005630939,0.023729599659497,,0.005306099791749,3.22082144526845
15,0.00319739125222,VGG11,0.8819,3,,,0,,0,0,,,,,,
16,0.0376810359478,VGG11_S,0.1,0.9,,,0.7559,,0.7016,0.00294849,,,,,,
17,0.038301768732071,VGG11_S,0.1,0.91,,,0.7559,,0.699655,0.003163500025,,,,,,
18,0.037049225711823,VGG11_S,0.1,0.92,,,0.7559,,0.6954,0.00366025,,,,,,
19,0.02227450196743,VGG11_S,0.1006,0.93,,,0.7553,,0.691975,0.004010055625,,,,,,
