;loss;model;accs;thresh
0;0.027838469076156617;VGG11;0.1;0.9
1;0.027368335390090943;VGG11;0.1;0.91
2;0.023462276792526247;VGG11;0.1167;0.92
3;0.023611781549453734;VGG11;0.1207;0.93
4;0.023307522869110107;VGG11;0.1246;0.94
5;0.023224086594581604;VGG11;0.1315;0.95
6;0.018295497393608095;VGG11;0.1918;0.96
7;0.012358422696590423;VGG11;0.4907;0.97
8;0.005484387409687042;VGG11;0.764;0.98
9;0.0041238279551267625;VGG11;0.8337;0.99
10;0.003106519691646099;VGG11;0.8735;0.992
11;0.0030712410271167756;VGG11;0.8776;0.994
12;0.0030122080847620964;VGG11;0.8834;0.996
13;0.003101818147301674;VGG11;0.8844;0.998
14;0.0031403618171811105;VGG11;0.8838;0.999
15;0.003197391252219677;VGG11;0.8819;3.0
16;0.03768103594779968;VGG11_S;0.1;0.9
17;0.038301768732070925;VGG11_S;0.1;0.91
18;0.03704922571182251;VGG11_S;0.1;0.92
19;0.022274501967430114;VGG11_S;0.1006;0.93
20;0.019252788305282594;VGG11_S;0.12;0.94
21;0.01857333016395569;VGG11_S;0.1473;0.95
22;0.016081790459156035;VGG11_S;0.2675;0.96
23;0.011548091673851013;VGG11_S;0.4697;0.97
24;0.0059821239709854125;VGG11_S;0.7694;0.98
25;0.00376656759083271;VGG11_S;0.8383;0.99
26;0.0037261816442012785;VGG11_S;0.8422;0.992
27;0.00341760576069355;VGG11_S;0.8533;0.994
28;0.0033689079627394676;VGG11_S;0.858;0.996
29;0.003570335029065609;VGG11_S;0.8555;0.998
30;0.003681239852309227;VGG11_S;0.8546;0.999
31;0.0036948452025651933;VGG11_S;0.8559;3.0
32;0.02664557580947876;VGG11_XS;0.1;0.9
33;0.026663765406608583;VGG11_XS;0.1;0.91
34;0.026513210797309877;VGG11_XS;0.1;0.92
35;0.019898860311508178;VGG11_XS;0.1037;0.93
36;0.018859355092048644;VGG11_XS;0.0914;0.94
37;0.01808448324203491;VGG11_XS;0.099;0.95
38;0.01676128659248352;VGG11_XS;0.2006;0.96
39;0.012670870459079742;VGG11_XS;0.4032;0.97
40;0.008036121731996537;VGG11_XS;0.6578;0.98
41;0.005560026142001152;VGG11_XS;0.7551;0.99
42;0.005407809880375862;VGG11_XS;0.7599;0.992
43;0.004816702193021774;VGG11_XS;0.786;0.994
44;0.00447939250767231;VGG11_XS;0.8091;0.996
45;0.004017852845788002;VGG11_XS;0.8291;0.998
46;0.003953875032067299;VGG11_XS;0.8322;0.999
47;0.003980140894651413;VGG11_XS;0.8322;3.0
48;0.025020565867424013;VGG11_XXS;0.1;0.9
49;0.024551974296569825;VGG11_XXS;0.1;0.91
50;0.024611826014518737;VGG11_XXS;0.1;0.92
51;0.019558933591842652;VGG11_XXS;0.1009;0.93
52;0.01934527268409729;VGG11_XXS;0.1005;0.94
53;0.019180696129798887;VGG11_XXS;0.1041;0.95
54;0.01692915940284729;VGG11_XXS;0.1406;0.96
55;0.014318099164962768;VGG11_XXS;0.3108;0.97
56;0.011361802780628205;VGG11_XXS;0.4995;0.98
57;0.00728952586054802;VGG11_XXS;0.6939;0.99
58;0.0069871857821941375;VGG11_XXS;0.7043;0.992
59;0.006651648074388504;VGG11_XXS;0.7118;0.994
60;0.0055606750309467315;VGG11_XXS;0.7613;0.996
