;loss;model;accs;thresh
0;0.021896751642227173;VGG11;0.1;0.9
1;0.022051994919776916;VGG11;0.1;0.91
2;0.021845099329948426;VGG11;0.1;0.92
3;0.02184794237613678;VGG11;0.1;0.93
4;0.021579295778274537;VGG11;0.1;0.94
5;0.021698824596405028;VGG11;0.1;0.95
6;0.021982505130767823;VGG11;0.1;0.96
7;0.02159617414474487;VGG11;0.1;0.97
8;0.02129809136390686;VGG11;0.1;0.98
9;0.020918239665031434;VGG11;0.1036;0.99
10;0.019501360201835634;VGG11;0.1009;0.992
11;0.020195746779441835;VGG11;0.1318;0.994
12;0.01912349603176117;VGG11;0.2023;0.996
13;0.016577111268043516;VGG11;0.2535;0.998
14;0.009773225128650665;VGG11;0.6644;0.999
15;0.003197391179203987;VGG11;0.8819;3.0
16;0.024824573516845704;VGG11_S;0.1;0.9
17;0.024827309656143187;VGG11_S;0.1;0.91
18;0.024200831747055052;VGG11_S;0.1;0.92
19;0.025774983668327332;VGG11_S;0.1;0.93
20;0.025065700674057008;VGG11_S;0.1;0.94
21;0.026013605070114135;VGG11_S;0.1;0.95
22;0.025982499027252196;VGG11_S;0.1;0.96
23;0.025313084721565248;VGG11_S;0.1;0.97
24;0.024714786386489867;VGG11_S;0.1;0.98
25;0.022913683581352234;VGG11_S;0.1;0.99
26;0.02334521827697754;VGG11_S;0.1046;0.992
27;0.022108163213729857;VGG11_S;0.1206;0.994
28;0.0216657555103302;VGG11_S;0.1313;0.996
29;0.015629020166397094;VGG11_S;0.1644;0.998
30;0.009702084279060363;VGG11_S;0.5615;0.999
31;0.0036948450088500977;VGG11_S;0.8559;3.0
32;0.02145780017375946;VGG11_XS;0.1;0.9
33;0.020602655029296875;VGG11_XS;0.1;0.91
34;0.021609133911132814;VGG11_XS;0.1;0.92
35;0.021185675072669982;VGG11_XS;0.1;0.93
36;0.021919795632362366;VGG11_XS;0.1;0.94
37;0.021713097357749938;VGG11_XS;0.1;0.95
38;0.021205762434005737;VGG11_XS;0.1;0.96
39;0.021636559534072876;VGG11_XS;0.1;0.97
40;0.019194114470481874;VGG11_XS;0.1339;0.98
41;0.01821715440750122;VGG11_XS;0.1153;0.99
42;0.017592030358314515;VGG11_XS;0.1831;0.992
43;0.01948516664505005;VGG11_XS;0.1257;0.994
44;0.015396401131153106;VGG11_XS;0.2299;0.996
45;0.015020189595222474;VGG11_XS;0.2829;0.998
46;0.008327975749969482;VGG11_XS;0.6766;0.999
47;0.003980141124129295;VGG11_XS;0.8322;3.0
48;0.03322656626701355;VGG11_XXS;0.1;0.9
49;0.03481433374881744;VGG11_XXS;0.1;0.91
50;0.027877873706817626;VGG11_XXS;0.1;0.92
51;0.031432326173782346;VGG11_XXS;0.1;0.93
52;0.030658804750442505;VGG11_XXS;0.1;0.94
53;0.03529080677032471;VGG11_XXS;0.1;0.95
54;0.033420173811912535;VGG11_XXS;0.1;0.96
55;0.033209004497528075;VGG11_XXS;0.1;0.97
56;0.03385739586353302;VGG11_XXS;0.1;0.98
57;0.027594389605522157;VGG11_XXS;0.1;0.99
58;0.019621855449676515;VGG11_XXS;0.1597;0.992
59;0.028527642011642457;VGG11_XXS;0.1625;0.994
60;0.02432371914386749;VGG11_XXS;0.1925;0.996
61;0.0236402307510376;VGG11_XXS;0.1826;0.998
62;0.014806180357933045;VGG11_XXS;0.4197;0.999
63;0.005056794607639313;VGG11_XXS;0.7838;3.0
64;0.028775431847572325;VGG11_XXXS;0.1037;0.9
65;0.037057467126846315;VGG11_XXXS;0.1;0.91
66;0.041787370443344116;VGG11_XXXS;0.1;0.92
67;0.04743498754501343;VGG11_XXXS;0.1;0.93
68;0.04004061479568481;VGG11_XXXS;0.1;0.94
69;0.034176850271224975;VGG11_XXXS;0.1;0.95
70;0.04146564884185791;VGG11_XXXS;0.1;0.96
71;0.044878459930419924;VGG11_XXXS;0.1;0.97
72;0.0292192325592041;VGG11_XXXS;0.1584;0.98
73;0.02671647310256958;VGG11_XXXS;0.1069;0.99
74;0.02557367742061615;VGG11_XXXS;0.1999;0.992
75;0.03115830800533295;VGG11_XXXS;0.2068;0.994
76;0.02052059202194214;VGG11_XXXS;0.1809;0.996
77;0.020685484409332277;VGG11_XXXS;0.2176;0.998
78;0.025692673921585082;VGG11_XXXS;0.2697;0.999
79;0.007574689054489135;VGG11_XXXS;0.6633;3.0
80;0.021061525392532348;VGG13;0.1;0.9
81;0.02119877052307129;VGG13;0.1;0.91
82;0.020869103121757507;VGG13;0.1;0.92
83;0.020952672529220583;VGG13;0.1;0.93
84;0.02118135199546814;VGG13;0.1;0.94
85;0.021054546308517455;VGG13;0.1;0.95
86;0.020344759154319762;VGG13;0.1;0.96
87;0.020290279316902162;VGG13;0.1;0.97
88;0.019730723071098327;VGG13;0.1;0.98
89;0.019844753527641295;VGG13;0.1001;0.99
90;0.019381449246406557;VGG13;0.1;0.992
91;0.018433023142814635;VGG13;0.1272;0.994
